file_id,label,label_int,split,dataset_name,audio_path
LA_train_0031_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0031_0000000.flac
LA_train_0001_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0001_0000000.flac
LA_train_0023_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0023_0000000.flac
LA_train_0032_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0032_0000000.flac
LA_train_0019_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0019_0000000.flac
LA_train_0029_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0029_0000000.flac
LA_train_0011_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0011_0000000.flac
LA_train_0071_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0071_0000000.flac
LA_train_0005_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0005_0000000.flac
LA_train_0013_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0013_0000000.flac
LA_train_0050_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0050_0000000.flac
LA_train_0034_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0034_0000000.flac
LA_train_0068_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0068_0000000.flac
LA_train_0036_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0036_0000000.flac
LA_train_0069_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0069_0000000.flac
LA_train_0046_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0046_0000000.flac
LA_train_0074_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0074_0000000.flac
LA_train_0062_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0062_0000000.flac
LA_train_0056_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0056_0000000.flac
LA_train_0041_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0041_0000000.flac
LA_train_0010_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0010_0000000.flac
LA_train_0065_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0065_0000000.flac
LA_train_0006_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0006_0000000.flac
LA_train_0048_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0048_0000000.flac
LA_train_0035_0000000,bonafide,0,train,LA_demo,dataset\LA_demo\train\LA_train_0035_0000000.flac
LA_train_0063_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0063_0000000.flac
LA_train_0043_0000000,spoof,1,train,LA_demo,dataset\LA_demo\train\LA_train_0043_0000000.flac
